12:45:36.882 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - clicked on element
12:45:39.869 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - clicked on element
12:45:39.870 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on Admin button on Home page
12:45:42.989 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - clicked on element
12:45:42.989 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on User Manangement Button
12:45:43.553 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - clicked on element
12:45:43.554 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on user button under User Manangement
12:45:44.996 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - clicked on element
12:45:44.997 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on Add button
12:45:45.606 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - clicked on element
12:45:45.607 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on User Role DropDown button
12:45:45.709 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - clicked on element
12:45:45.709 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Admin Role is selected
12:45:45.837 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Employee name is entered 
12:45:47.432 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - clicked on element
12:45:47.433 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Employee name is is selected
12:45:47.529 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - clicked on element
12:45:47.530 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on status DropDown button
12:45:47.629 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - clicked on element
12:45:47.629 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Enable status is selected
12:45:52.789 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - user name is entered 
12:45:52.998 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Data entered in to text field
12:45:52.999 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Password is enetered 
12:45:53.210 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Data entered in to text field
12:45:53.211 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Confirm Password is enetered 
12:45:53.311 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - clicked on element
12:45:53.312 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on save button 
12:45:53.312 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - form is submitted successfully
