13:09:08.772 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on element
13:09:11.596 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on element
13:09:11.597 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on Admin button on Home page
13:09:14.712 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on element
13:09:14.712 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on User Manangement Button
13:09:15.270 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on element
13:09:15.271 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on user button under User Manangement
13:09:16.625 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on element
13:09:16.625 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on Add button
13:09:17.173 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on element
13:09:17.175 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on User Role DropDown button
13:09:17.273 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on element
13:09:17.274 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Admin Role is selected
13:09:17.498 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Data entered in to text field
13:09:17.499 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Employee name is entered 
13:09:18.782 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on element
13:09:18.783 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Employee name is is selected
13:09:18.882 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on element
13:09:18.883 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on status DropDown button
13:09:18.978 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Clicked on element
13:09:18.978 [main]INFO  Class class TestCases.AdminPageTest Method userManangementButtonTest - Enable status is selected
